group,,Ca,K,Vit B12,carbs,fats,fiber,id,kcal,mono unsaturated,nutrition id,polyunsaturated,protein,sat fats,water,yield
Fruits - Excluding Wine,min,3.0,94.5,0.0,7.55,0.11,0.4,2611.0,29.0,0.0,30.0,0.0,0.27,0.0,20.53,5.45
Fruits - Excluding Wine,25%,7.835,129.625,0.0,10.629999999999999,0.195,1.5,2615.5,49.75,0.01,36.0,0.045,0.635,0.02,81.64,8.595
Fruits - Excluding Wine,50%,13.0,168.0,0.0,13.34,0.27,1.93,2620.0,53.0,0.04,48.0,0.07,0.83,0.04,85.17,15.37
Fruits - Excluding Wine,75%,25.25,269.585,0.0,15.9,0.365,2.8,8525.5,65.875,0.06,60.0,0.08499999999999999,1.0950000000000002,0.05,86.055,21.11
Fruits - Excluding Wine,max,47.2,656.0,0.04,75.03,13.38,8.0,8533.0,282.0,8.37,80.0,1.77,2.45,2.07,91.45,32.18
Meat,count,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.0
Meat,mean,41.068000000000005,258.214,2.9159999999999995,0.45199999999999996,13.598000000000003,0.0,2733.0,197.18400000000003,5.7620000000000005,130.8,1.544,17.686,4.894,67.678,
Meat,std,60.54589102490771,84.27996458233713,2.13936439158924,0.3285878877865099,4.306178119864527,0.0,1.5811388300841898,30.798683900452627,2.099754747583632,7.726577508832743,1.4498206785668357,2.604108292679089,1.0068415962801696,2.7060432369051317,
Meat,min,11.55,112.0,0.29,0.0,9.01,0.0,2731.0,158.31,3.73,119.0,0.48,13.3,3.43,64.97,
Meat,25%,13.83,269.15,1.36,0.21,10.59,0.0,2732.0,179.17,4.58,129.0,0.59,18.04,4.28,65.5,
Meat,50%,14.11,280.43,2.93,0.62,13.25,0.0,2733.0,196.18,4.92,132.0,0.81,18.39,5.35,67.87,
Meat,75%,16.52,310.92,4.61,0.68,15.08,0.0,2734.0,214.26,6.53,134.0,1.91,18.42,5.63,68.27,
Meat,max,149.33,318.57,5.39,0.75,20.06,0.0,2735.0,238.0,9.05,140.0,3.93,20.28,5.78,71.78,
Milk - Excluding Butter,count,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
Milk - Excluding Butter,mean,113.0,132.0,0.45,4.78,3.27,0.0,2848.0,61.0,0.81,18.0,0.2,3.15,1.87,88.13,
Milk - Excluding Butter,std,,,,,,,,,,,,,,,
Milk - Excluding Butter,min,113.0,132.0,0.45,4.78,3.27,0.0,2848.0,61.0,0.81,18.0,0.2,3.15,1.87,88.13,
Milk - Excluding Butter,25%,113.0,132.0,0.45,4.78,3.27,0.0,2848.0,61.0,0.81,18.0,0.2,3.15,1.87,88.13,
Milk - Excluding Butter,50%,113.0,132.0,0.45,4.78,3.27,0.0,2848.0,61.0,0.81,18.0,0.2,3.15,1.87,88.13,
Milk - Excluding Butter,75%,113.0,132.0,0.45,4.78,3.27,0.0,2848.0,61.0,0.81,18.0,0.2,3.15,1.87,88.13,
Milk - Excluding Butter,max,113.0,132.0,0.45,4.78,3.27,0.0,2848.0,61.0,0.81,18.0,0.2,3.15,1.87,88.13,
Offals,count,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
Offals,mean,162.0,288.0,2.56,0.0,23.54,0.0,2736.0,276.0,8.45,141.0,0.76,14.97,11.79,58.68,
Offals,std,,,,,,,,,,,,,,,
Offals,min,162.0,288.0,2.56,0.0,23.54,0.0,2736.0,276.0,8.45,141.0,0.76,14.97,11.79,58.68,
Offals,25%,162.0,288.0,2.56,0.0,23.54,0.0,2736.0,276.0,8.45,141.0,0.76,14.97,11.79,58.68,
Offals,50%,162.0,288.0,2.56,0.0,23.54,0.0,2736.0,276.0,8.45,141.0,0.76,14.97,11.79,58.68,
Offals,75%,162.0,288.0,2.56,0.0,23.54,0.0,2736.0,276.0,8.45,141.0,0.76,14.97,11.79,58.68,
Offals,max,162.0,288.0,2.56,0.0,23.54,0.0,2736.0,276.0,8.45,141.0,0.76,14.97,11.79,58.68,
Oilcrops,count,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,9.0
Oilcrops,mean,69.958,531.475,0.0,14.440999999999999,43.824,6.757,2560.1,481.883,14.125,102.8,12.263,14.850000000000003,14.698000000000002,24.621,2.0
Oilcrops,std,52.803886388956045,413.2571577991387,0.0,6.829778668936986,25.865503496184083,3.6799216477166103,4.332051092342595,220.7558183478851,12.011218136022304,3.489667287547307,10.1367385177767,11.781364757767054,15.999854721562665,28.299871790051156,1.4319479739152539
Oilcrops,min,0.0,0.0,0.0,0.0,10.9,0.0,2555.0,116.0,1.43,98.0,0.37,0.0,1.53,0.0,0.0
Oilcrops,25%,25.5,356.0,0.0,12.605,33.49,5.0275,2557.25,354.0,3.53,99.75,1.9925000000000002,3.33,4.46,4.67,1.7
Oilcrops,50%,78.0,493.875,0.0,16.08,42.54,8.6,2559.5,536.75,13.09,103.5,12.67,20.615000000000002,7.925000000000001,5.375,2.01
Oilcrops,75%,87.8125,645.0,0.0,19.3375,51.46,8.95,2561.75,584.0,22.212500000000002,105.0,21.872500000000002,20.825,24.7,46.99,2.16
Oilcrops,max,180.33,1350.0,0.0,21.9,100.0,11.6,2570.0,884.0,37.0,108.0,25.49,32.59,49.3,79.99,5.16
Pulses,count,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
Pulses,mean,76.72500000000001,806.3533333333334,0.0,47.275,2.0383333333333336,14.013333333333335,6521.666666666667,267.2366666666667,0.3466666666666667,85.83333333333333,0.895,17.52333333333333,0.2833333333333333,30.52666666666667,1.0583333333333333
Pulses,std,40.586373944958424,317.33231393393686,0.0,14.20761028463267,1.9779728680309716,6.428933555938083,3079.1714253458945,86.68507983884346,0.5117681766841962,3.656045222185671,0.9075406326991646,4.957239823396349,0.1615755757120075,20.960339373842846,0.4033567486316135
Pulses,min,36.0,419.25,0.0,27.69,0.97,8.2,2546.0,152.75,0.08,81.0,0.41,10.04,0.16,7.68,0.68
Pulses,25%,42.375,596.2524999999999,0.0,37.435,1.05,10.315,4035.5,208.16750000000002,0.08249999999999999,84.25,0.43,14.735,0.2,13.9875,0.7725
Pulses,50%,68.875,753.625,0.0,49.385000000000005,1.275,11.475,8501.5,270.33500000000004,0.135,85.5,0.545,18.520000000000003,0.225,28.36,0.9450000000000001
Pulses,75%,109.51249999999999,1038.025,0.0,57.9375,1.59,15.920000000000002,8502.75,326.0,0.2475,86.75,0.6975,20.145,0.27999999999999997,44.502500000000005,1.2225
Pulses,max,130.0,1235.0,0.0,62.95,6.04,25.6,8531.0,378.0,1.38,92.0,2.73,23.9,0.6,59.68,1.75
Spices,count,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
Spices,mean,410.6,1146.8,0.0,52.496,8.858,25.98,4997.4,232.2,1.376,217.6,3.246,7.522,2.3899999999999997,24.368000000000002,2.15
Spices,std,255.58325453753812,558.1251651735478,0.0,20.522409215294388,6.340104100091732,13.953028345129955,3226.6339736635764,85.86733954187704,1.147989546990738,32.76888768328885,3.1040989030634956,4.494871522079357,1.6331105290212296,30.49706084198935,2.557919076124184
Spices,min,16.0,415.0,0.0,17.77,0.75,2.0,2640.0,80.0,0.15,159.0,0.0,1.82,0.2,9.87,0.24
Spices,25%,330.0,1020.0,0.0,49.7,3.26,25.3,2641.0,251.0,0.74,231.0,1.0,5.97,1.39,9.87,0.91
Spices,50%,443.0,1020.0,0.0,63.95,13.0,33.9,2642.0,274.0,1.39,232.0,3.61,5.97,2.46,10.75,0.91
Spices,75%,632.0,1329.0,0.0,65.53,13.0,33.9,8530.0,274.0,1.39,233.0,3.61,10.39,3.95,12.46,2.13
Spices,max,632.0,1950.0,0.0,65.53,14.28,34.8,8534.0,282.0,3.21,233.0,8.01,13.46,3.95,78.89,6.56
Starchy Roots,count,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
Starchy Roots,mean,16.759999999999998,460.28000000000003,0.0,23.074,0.16,2.44,2533.0,99.92,0.018,161.2,0.05600000000000001,2.154,0.04,73.60799999999999,11.666
Starchy Roots,std,8.595812934213958,211.5190109659177,0.0,10.017029499806817,0.08916277250063505,1.1148990985734986,1.5811388300841898,39.399644668448474,0.034928498393145956,6.340346993658944,0.03130495168499706,1.1957549916266292,0.01870828693386971,9.017592250706395,4.751466089534892
Starchy Roots,min,6.0,271.0,0.0,13.39,0.05,1.3,2531.0,65.0,0.0,153.0,0.01,1.36,0.02,59.68,7.63
Starchy Roots,25%,14.8,337.0,0.0,15.92,0.1,1.8,2532.0,70.6,0.0,157.0,0.05,1.53,0.03,69.6,7.93
Starchy Roots,50%,16.0,423.4,0.0,20.12,0.17,2.0,2533.0,86.0,0.0,162.0,0.05,1.57,0.04,77.28,11.05
Starchy Roots,75%,17.0,454.0,0.0,27.88,0.2,3.0,2534.0,118.0,0.01,165.0,0.08,2.07,0.04,80.73,12.36
Starchy Roots,max,30.0,816.0,0.0,38.06,0.28,4.1,2535.0,160.0,0.08,169.0,0.09,4.24,0.07,80.75,19.36
Stimulants,count,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
Stimulants,mean,200.0,0.0,0.0,60.0,20.0,40.0,2632.6666666666665,500.0,10.0,229.0,10.0,20.0,10.0,0.0,0.9166666666666666
Stimulants,std,0.0,0.0,0.0,0.0,0.0,0.0,2.516611478423583,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5192622972384316
Stimulants,min,200.0,0.0,0.0,60.0,20.0,40.0,2630.0,500.0,10.0,229.0,10.0,20.0,10.0,0.0,0.44
Stimulants,25%,200.0,0.0,0.0,60.0,20.0,40.0,2631.5,500.0,10.0,229.0,10.0,20.0,10.0,0.0,0.64
Stimulants,50%,200.0,0.0,0.0,60.0,20.0,40.0,2633.0,500.0,10.0,229.0,10.0,20.0,10.0,0.0,0.84
Stimulants,75%,200.0,0.0,0.0,60.0,20.0,40.0,2634.0,500.0,10.0,229.0,10.0,20.0,10.0,0.0,1.155
Stimulants,max,200.0,0.0,0.0,60.0,20.0,40.0,2635.0,500.0,10.0,229.0,10.0,20.0,10.0,0.0,1.47
Sugar & Sweeteners,count,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0
Sugar & Sweeteners,mean,2.25,14.5,0.0,95.58500000000001,0.0,0.05,2592.75,366.25,0.0,225.25,0.0,0.075,0.0,4.29,70.66
Sugar & Sweeteners,std,2.5,25.0,0.0,8.79,0.0,0.1,101.50328401912259,41.5,0.0,0.5,0.0,0.15,0.0,8.540000000000001,0.0
Sugar & Sweeteners,min,1.0,2.0,0.0,82.4,0.0,0.0,2541.0,304.0,0.0,225.0,0.0,0.0,0.0,0.02,70.66
Sugar & Sweeteners,25%,1.0,2.0,0.0,95.58500000000001,0.0,0.0,2541.75,366.25,0.0,225.0,0.0,0.0,0.0,0.02,70.66
Sugar & Sweeteners,50%,1.0,2.0,0.0,99.98,0.0,0.0,2542.5,387.0,0.0,225.0,0.0,0.0,0.0,0.02,70.66
Sugar & Sweeteners,75%,2.25,14.5,0.0,99.98,0.0,0.05,2593.5,387.0,0.0,225.25,0.0,0.075,0.0,4.29,70.66
Sugar & Sweeteners,max,6.0,52.0,0.0,99.98,0.0,0.2,2745.0,387.0,0.0,226.0,0.0,0.3,0.0,17.1,70.66
Sugar Crops,count,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
Sugar Crops,mean,1.0,2.0,0.0,99.98,0.0,0.0,2536.5,387.0,0.0,225.0,0.0,0.0,0.0,0.02,39.225
Sugar Crops,std,0.0,0.0,0.0,0.0,0.0,0.0,0.7071067811865476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.45580333319824
Sugar Crops,min,1.0,2.0,0.0,99.98,0.0,0.0,2536.0,387.0,0.0,225.0,0.0,0.0,0.0,0.02,7.79
