year,country,FAO item,amount kg_pa
1965,France,2805,1.89
1965,France,2514,0.58
1965,France,2517,0
1965,France,2518,0
1965,France,2520,0.73
1965,France,2513,0.25
1965,France,2516,0.28
1965,France,2515,0.79
1965,France,2531,102.24
1965,France,2533,0
1965,France,2532,0
1965,France,2534,0
1965,France,2535,0
1965,France,2549,0.56
1965,France,2555,0
1965,France,2546,1.77
1965,France,2547,0.12
1965,France,2551,3.39
1965,France,2556,0.51
1965,France,2560,0.24
1965,France,2563,0.44
1965,France,2558,0
1965,France,2561,0
1965,France,2557,0
1965,France,2570,0
1965,France,2562,0
1965,France,2571,0.3
1965,France,2574,0.13
1965,France,2580,0.28
1965,France,2573,0.15
1965,France,2577,0.6
1965,France,2582,0.25
1965,France,2572,5.27
1965,France,2578,0.85
1965,France,2575,0.02
1965,France,2586,0.33
1965,France,2581,0
1965,France,2576,0.78
1965,France,2579,0.02
1965,France,2605,123.37
1965,France,2601,15.37
1965,France,2602,4.41
1965,France,2625,19.98
1965,France,2611,13.96
1965,France,2617,20.98
1965,France,2615,7.65
1965,France,2620,6.79
1965,France,2618,0.68
1965,France,2612,1.63
1965,France,2613,1.41
1965,France,2614,0.1
1965,France,2616,0
1965,France,2619,0.09
1965,France,2761,0.39
1965,France,2763,4.81
1965,France,2762,9.4
1965,France,2767,3.84
1965,France,2765,1.07
1965,France,2766,0.08
1965,France,2775,0
1965,France,2764,0.9
1965,France,2769,0.01
1965,France,2781,0.47
1965,France,2782,0.04
1965,France,2733,28.5
1965,France,2734,12.48
1965,France,2731,28.02
1965,France,2735,9.8
1965,France,2732,2.4
1965,France,2736,7.78
1965,France,2737,1.4
1965,France,2848,215.95
1965,France,2740,9.34
1965,France,2743,0.67
1965,France,2744,10.85
1965,France,2542,33.02
1965,France,2543,0.22
1965,France,2536,0
1965,France,2745,0.2
1965,France,2541,0
1965,France,2640,0.06
1965,France,2641,0.03
1965,France,2642,0
1965,France,2645,0.05
1965,France,2630,4.19
1965,France,2633,1.34
1965,France,2635,0.05
1965,France,2656,39.22
1965,France,2655,113.57
1965,France,2657,19.08
1965,France,2658,1.33
1965,Italy,2511,168.08
1965,Italy,2805,4.95
1965,Italy,2514,5.13
1965,Italy,2517,0
1965,Italy,2518,0
1965,Italy,2520,0
1965,Italy,2513,1.88
1965,Italy,2516,0.01
1965,Italy,2515,0.64
1965,Italy,2531,42.92
1965,Italy,2533,0.48
1965,Italy,2532,0
1965,Italy,2534,0
1965,Italy,2535,0
1965,Italy,2549,3.07
1965,Italy,2555,0
1965,Italy,2546,2.69
1965,Italy,2547,0.23
1965,Italy,2551,5.24
1965,Italy,2556,0.2
1965,Italy,2560,0.03
1965,Italy,2563,1.22
1965,Italy,2558,0
1965,Italy,2561,0
1965,Italy,2557,0
1965,Italy,2570,0
1965,Italy,2562,0
1965,Italy,2571,1.43
1965,Italy,2574,0.83
1965,Italy,2580,9.85
1965,Italy,2573,0.68
1965,Italy,2577,0
1965,Italy,2582,0.43
1965,Italy,2572,1.23
1965,Italy,2578,0.29
1965,Italy,2575,0
1965,Italy,2586,0.53
1965,Italy,2581,0.01
1965,Italy,2576,0
1965,Italy,2579,0.29
1965,Italy,2605,107.57
1965,Italy,2601,39.16
1965,Italy,2602,7.12
1965,Italy,2625,48.62
1965,Italy,2611,17.41
1965,Italy,2617,24.33
1965,Italy,2615,4.68
1965,Italy,2620,13.88
1965,Italy,2618,0.03
1965,Italy,2612,2.97
1965,Italy,2613,0.03
1965,Italy,2614,0.53
1965,Italy,2616,0
1965,Italy,2619,0.04
1965,Italy,2761,0.43
1965,Italy,2763,5.61
1965,Italy,2762,4.23
1965,Italy,2767,0.72
1965,Italy,2765,0.49
1965,Italy,2766,0.72
1965,Italy,2775,0
1965,Italy,2764,1.85
1965,Italy,2769,0
1965,Italy,2781,0
1965,Italy,2782,0.02
1965,Italy,2733,9.59
1965,Italy,2734,10.04
1965,Italy,2731,18.34
1965,Italy,2735,2.27
1965,Italy,2732,0.8
1965,Italy,2736,2.1
1965,Italy,2737,1.91
1965,Italy,2848,153.38
1965,Italy,2740,1.91
1965,Italy,2743,0.25
1965,Italy,2744,9.75
1965,Italy,2542,26.86
1965,Italy,2543,0.38
1965,Italy,2536,0
1965,Italy,2745,0.14
1965,Italy,2541,0
1965,Italy,2640,0.05
1965,Italy,2641,0
1965,Italy,2642,0
1965,Italy,2645,0.01
1965,Italy,2630,2.34
1965,Italy,2633,0.51
1965,Italy,2635,0.05
1965,Italy,2656,10.24
1965,Italy,2655,111.26
1965,Italy,2657,0.01
1965,Italy,2658,1.42
1965,United States of America,2511,67.7
1965,United States of America,2805,3.1
1965,United States of America,2514,8.2
1965,United States of America,2517,0
1965,United States of America,2518,0
1965,United States of America,2520,1
1965,United States of America,2513,0.8
1965,United States of America,2516,3.2
1965,United States of America,2515,0.6
1965,United States of America,2531,47.2
1965,United States of America,2533,2.9
1965,United States of America,2532,2.9
1965,United States of America,2534,0
1965,United States of America,2535,0
1965,United States of America,2549,0
1965,United States of America,2555,0
1965,United States of America,2546,2.9
1965,United States of America,2547,0.3
1965,United States of America,2551,1.7
1965,United States of America,2556,2.4
1965,United States of America,2560,1.3
1965,United States of America,2563,0.4
1965,United States of America,2558,0
1965,United States of America,2561,0.1
1965,United States of America,2557,0.1
1965,United States of America,2570,0
1965,United States of America,2562,0
1965,United States of America,2571,8
1965,United States of America,2574,0
1965,United States of America,2580,0.1
1965,United States of America,2573,0
1965,United States of America,2577,0
1965,United States of America,2582,1
1965,United States of America,2572,0.2
1965,United States of America,2578,0.5
1965,United States of America,2575,3.5
1965,United States of America,2586,0.1
1965,United States of America,2581,0
1965,United States of America,2576,0.2
1965,United States of America,2579,0
1965,United States of America,2605,60.3
1965,United States of America,2601,24.4
1965,United States of America,2602,5.9
1965,United States of America,2625,14.5
1965,United States of America,2611,22.5
1965,United States of America,2617,12.8
1965,United States of America,2615,7.2
1965,United States of America,2620,5.8
1965,United States of America,2618,4.8
1965,United States of America,2612,2
1965,United States of America,2613,6.6
1965,United States of America,2614,0
1965,United States of America,2616,0
1965,United States of America,2619,0.1
1965,United States of America,2761,1.4
1965,United States of America,2763,2.5
1965,United States of America,2762,2.9
1965,United States of America,2767,3
1965,United States of America,2765,2.3
1965,United States of America,2766,0
1965,United States of America,2775,0
1965,United States of America,2764,0.6
1965,United States of America,2769,0
1965,United States of America,2781,0
1965,United States of America,2782,0
1965,United States of America,2733,26
1965,United States of America,2734,18.1
1965,United States of America,2731,47
1965,United States of America,2735,1.1
1965,United States of America,2732,1.6
1965,United States of America,2736,2
1965,United States of America,2737,6.5
1965,United States of America,2848,254.2
1965,United States of America,2740,2.9
1965,United States of America,2743,0.8
1965,United States of America,2744,17.7
1965,United States of America,2542,45.6
1965,United States of America,2543,7.7
1965,United States of America,2536,0
1965,United States of America,2745,0.6
1965,United States of America,2541,0
1965,United States of America,2640,0.1
1965,United States of America,2641,0.1
1965,United States of America,2642,0
1965,United States of America,2645,0.1
1965,United States of America,2630,6.6
1965,United States of America,2633,2
1965,United States of America,2635,0.3
1965,United States of America,2656,64
1965,United States of America,2655,3.7
1965,United States of America,2657,0
1965,United States of America,2658,4.6
2013,China,2511,63.1
2013,China,2805,77.5
2013,China,2514,6.8
2013,China,2517,0.6
2013,China,2518,1.3
2013,China,2520,0.3
2013,China,2513,0.2
2013,China,2516,0.2
2013,China,2515,0.1
2013,China,2531,40.8
2013,China,2533,23.8
2013,China,2532,1.9
2013,China,2534,1.1
2013,China,2535,0
2013,China,2549,0.7
2013,China,2555,3.9
2013,China,2546,0.1
2013,China,2547,0.6
2013,China,2551,2.7
2013,China,2556,3.8
2013,China,2560,0.3
2013,China,2563,0
2013,China,2558,0
2013,China,2561,0.3
2013,China,2557,0
2013,China,2570,0
2013,China,2562,0
2013,China,2571,2
2013,China,2574,1.5
2013,China,2580,0
2013,China,2573,0.2
2013,China,2577,1.9
2013,China,2582,0.2
2013,China,2572,0.6
2013,China,2578,0.1
2013,China,2575,0.6
2013,China,2586,0.1
2013,China,2581,0.1
2013,China,2576,0.1
2013,China,2579,0.2
2013,China,2605,303.6
2013,China,2601,30.6
2013,China,2602,13.7
2013,China,2625,36.1
2013,China,2611,15.3
2013,China,2617,20.9
2013,China,2615,7.3
2013,China,2620,6.4
2013,China,2618,1.2
2013,China,2612,1.2
2013,China,2613,2.3
2013,China,2614,3.2
2013,China,2616,0
2013,China,2619,0.1
2013,China,2761,15.9
2013,China,2763,0.4
2013,China,2762,3.4
2013,China,2767,8.9
2013,China,2765,3.9
2013,China,2766,0.8
2013,China,2775,9.2
2013,China,2764,1.4
2013,China,2769,0.7
2013,China,2781,0
2013,China,2782,0
2013,China,2733,38.6
2013,China,2734,13.7
2013,China,2731,5.2
2013,China,2735,1.2
2013,China,2732,3.1
2013,China,2736,3.6
2013,China,2737,1.9
2013,China,2848,33.2
2013,China,2740,0.1
2013,China,2743,0
2013,China,2744,18.7
2013,China,2542,6.7
2013,China,2543,0.1
2013,China,2536,0
2013,China,2745,0.3
2013,China,2541,0.3
2013,China,2640,0
2013,China,2641,0.1
2013,China,2642,0
2013,China,2645,0.2
2013,China,2630,0.1
2013,China,2633,0.1
2013,China,2635,1.1
2013,China,2656,36.3
2013,China,2655,1.5
2013,China,2657,2
2013,China,2658,5
2013,India,2511,60.56
2013,India,2805,69.49
2013,India,2514,6.29
2013,India,2517,7.83
2013,India,2518,3.58
2013,India,2520,0
2013,India,2513,0.67
2013,India,2516,0.04
2013,India,2515,0
2013,India,2531,24.4
2013,India,2533,0.86
2013,India,2532,5.54
2013,India,2534,0
2013,India,2535,0
2013,India,2549,10.06
2013,India,2555,0.39
2013,India,2546,3.04
2013,India,2547,1.3
2013,India,2551,1.56
2013,India,2556,0.36
2013,India,2560,6.38
2013,India,2563,0
2013,India,2558,1
2013,India,2561,0.09
2013,India,2557,0
2013,India,2570,0
2013,India,2562,0
2013,India,2571,1.81
2013,India,2574,1.83
2013,India,2580,0.01
2013,India,2573,0.92
2013,India,2577,1.3
2013,India,2582,0
2013,India,2572,1
2013,India,2578,0.33
2013,India,2575,0.83
2013,India,2586,0.11
2013,India,2581,0.45
2013,India,2576,0
2013,India,2579,0.08
2013,India,2605,62.3
2013,India,2601,12.93
2013,India,2602,13.48
2013,India,2625,27.01
2013,India,2611,4.63
2013,India,2617,1.52
2013,India,2615,17.59
2013,India,2620,1.6
2013,India,2618,1.26
2013,India,2612,1.7
2013,India,2613,0.21
2013,India,2614,0.6
2013,India,2616,0
2013,India,2619,0.25
2013,India,2761,3.48
2013,India,2763,0.54
2013,India,2762,0.3
2013,India,2767,0.01
2013,India,2765,0.33
2013,India,2766,0
2013,India,2775,0
2013,India,2764,0.39
2013,India,2769,0
2013,India,2781,0
2013,India,2782,0
2013,India,2733,0.28
2013,India,2734,1.88
2013,India,2731,0.81
2013,India,2735,0.14
2013,India,2732,0.58
2013,India,2736,0.38
2013,India,2737,0.04
2013,India,2848,84.5
2013,India,2740,3.03
2013,India,2743,0
2013,India,2744,2.58
2013,India,2542,20.87
2013,India,2543,0.12
2013,India,2536,9.54
2013,India,2745,0.02
2013,India,2541,2.41
2013,India,2640,0.02
2013,India,2641,0.81
2013,India,2642,0.01
2013,India,2645,1.84
2013,India,2630,0
2013,India,2633,0.04
2013,India,2635,0.77
2013,India,2656,0.39
2013,India,2655,0
2013,India,2657,0.01
2013,India,2658,1.62
2013,Thailand,2511,10.93
2013,Thailand,2805,114.57
2013,Thailand,2514,10.16
2013,Thailand,2517,0
2013,Thailand,2518,0
2013,Thailand,2520,0
2013,Thailand,2513,0
2013,Thailand,2516,0.01
2013,Thailand,2515,0
2013,Thailand,2531,4.87
2013,Thailand,2533,0.21
2013,Thailand,2532,13
2013,Thailand,2534,5.15
2013,Thailand,2535,0
2013,Thailand,2549,2
2013,Thailand,2555,2.13
2013,Thailand,2546,1.27
2013,Thailand,2547,0.14
2013,Thailand,2551,0.91
2013,Thailand,2556,0.59
2013,Thailand,2560,10.25
2013,Thailand,2563,0.01
2013,Thailand,2558,0
2013,Thailand,2561,0.1
2013,Thailand,2557,0
2013,Thailand,2570,0.02
2013,Thailand,2562,0
2013,Thailand,2571,3.03
2013,Thailand,2574,0
2013,Thailand,2580,0.07
2013,Thailand,2573,0.28
2013,Thailand,2577,2.79
2013,Thailand,2582,0
2013,Thailand,2572,0.36
2013,Thailand,2578,0.43
2013,Thailand,2575,0.01
2013,Thailand,2586,0
2013,Thailand,2581,0.24
2013,Thailand,2576,0.07
2013,Thailand,2579,0.28
2013,Thailand,2605,47.86
2013,Thailand,2601,2.34
2013,Thailand,2602,1.36
2013,Thailand,2625,57.56
2013,Thailand,2611,10.5
2013,Thailand,2617,1.37
2013,Thailand,2615,15.11
2013,Thailand,2620,2.58
2013,Thailand,2618,10.02
2013,Thailand,2612,1.61
2013,Thailand,2613,4.27
2013,Thailand,2614,0.09
2013,Thailand,2616,0
2013,Thailand,2619,0.01
2013,Thailand,2761,8.32
2013,Thailand,2763,9.92
2013,Thailand,2762,1
2013,Thailand,2767,1.82
2013,Thailand,2765,1.43
2013,Thailand,2766,2.12
2013,Thailand,2775,0
2013,Thailand,2764,0.21
2013,Thailand,2769,1.28
2013,Thailand,2781,0
2013,Thailand,2782,0
2013,Thailand,2733,13
2013,Thailand,2734,13.69
2013,Thailand,2731,2.56
